原始文件,来源文件夹,原始地区,类型,年份,序号,目标地区/海域,总文章数,写出文章数,政治梗排除文章数,未命中海域文章数,命中关键词,输出文件,状态,原路径
press_js-2012-01.txt,js,js,press,2012,1,xm,11,1,0,4,厦门,/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/press_xm-2012-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2012-01.txt
press_js-2012-01.txt,js,js,press,2012,1,pr,11,5,0,4,"珠江, 珠江口中华白海豚国家级自然保护区, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/press_pr-2012-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2012-01.txt
press_js-2012-01.txt,js,js,press,2012,1,bb,11,1,0,4,"三娘湾, 钦州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/press_bb-2012-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2012-01.txt
press_js-2024-01.txt,js,js,press,2024,1,xm,10,1,0,7,厦门,/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/press_xm-2024-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2024-01.txt
press_js-2024-01.txt,js,js,press,2024,1,pr,10,2,0,7,"乐融融, 十五运, 喜洋洋, 大湾区, 残特, 粤港澳, 粤港澳大湾区",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/press_pr-2024-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2024-01.txt
press_js-2009-01.txt,js,js,press,2009,1,pr,16,10,0,5,"大屿山, 港珠澳, 港珠澳大桥, 澳门, 珠江, 珠海, 粤港澳, 香港",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/press_pr-2009-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2009-01.txt
press_js-2009-01.txt,js,js,press,2009,1,bb,16,1,0,5,"三娘湾, 广西, 钦州",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/press_bb-2009-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2009-01.txt
press_js-2017-01.txt,js,js,press,2017,1,xm,9,1,0,2,厦门,/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/xm/press_xm-2017-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2017-01.txt
press_js-2017-01.txt,js,js,press,2017,1,pr,9,5,0,2,"开平, 江门, 港珠澳, 港珠澳大桥, 珠海",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/pr/press_pr-2017-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2017-01.txt
press_js-2017-01.txt,js,js,press,2017,1,bb,9,1,0,2,"三娘湾, 广西",/Users/gurumakaza/Downloads/classified_filtered_txt_by_region/js/bb/press_bb-2017-01.txt,已写出,/Users/gurumakaza/Downloads/js/press_js-2017-01.txt
